,CRITERES_ATTRIBUTION_1,CRITERES_ATTRIBUTION_2
25634,Valeur technique,Coût
25636,Description de la méthodologie dorganisation par le candidat et gestion des problèmes afin dassurer la continuité de service pour la collectivité : itinéraire,Diversité du parc de véhicule 
25637,Le prix,La valeur technique
25638,Lavage extérieur,Nombre de sites
25641,Prix,valeur technique basée sur le mémoire technique
25642,Valeur technique,Prix
25643,Prix des prestations,Valeur technique de loffre (mémoire technique
25644,Prix des prestations,Valeur technique
25646,1. Prix des prestations,1. Prix des prestations : 1.1. Montant Total du Détail Quantitatif et Estimatif
25647,Prix des prestations,Valeur technique (jugée sur le mémoire technique
25653,Qualité des produits,Prix
25654,Valeur technique de loffre,Prix
25655,Prix des prestations au vu du détail quantitatif estimatif,Qualité technique des matériels proposés au vu du contenu du mémoire technique
25656,Prix,La Valeur technique de loffre
25658,Mémoire technique précisant les moyens techniques mis en oeuvre pour les travaux,Prix jugé sur les prix du bordereau de prix unitaires et sur cinq chantiers types
25661,Valeur technique de loffre,Prix
25662,Prix des travaux,Qualité technique
25664,Valeur technique,Prix
25691,Le prix,Valeur environnement
25692,VALEUR TECHNIQUE,MONTANT DE LOFFRE
25701,Valeur technique,Prix des prestations
25702,Prix,Technique
25704,Prix des prestations,Valeur technique
25705,Valeur technique,Prix
25706,Prix,Valeur technique
25712,valeur technique,prix
25716,1. Valeur technique,1. Valeur technique : 1.1. Charge utile du véhicule
25718,Prix des prestations,Valeur technique de loffre (mémoire justificatif
25720,coût de la maintenance,coût de la location
25721,valeur technique de loffre,critère environnemental
25724,Prix des prestations,La valeur technique au vu du mémoire technique
25725,Lot 01 : Valeur technique,Lot 01 : Valeur technique : Moyens techniques de réalisation du chantier pour garantir la qualité des ouvrages
25736,Valeur technique (note méthodologique,Prix des prestations
25737,Valeur technique,Prix des prestations
25741,valeur technique,prix des prestations
25743,Qualité de la proposition au regard de lutilsation et des exigences du PNRG,Coût de la prestation
25744,Prix des prestations (note sur 20,Valeur technique de loffre (mémoire justificatif (note sur 20
25751,Le prix,La valeur technique
25752,Prix des prestations (réduction sur la valeur faciale du titre,Valeur technique
25754,Prix de la prestation,Valeur technique
25755,le prix,la valeur technique
25758,Valeur technique,Prix
25760,Prix des prestations,Valeur technique
25762,Prix,Valeur technique de loffre
25772,Valeur technique de loffre,Prix
25774,la méthodologie (35% et le savoir-faire de léquipe de projet (25% au regard notamment des curriculum vitae fournis,coût total de la prestation
25778,LOT1: Prix des prestations,LOT1: Valeur technique
25779,Valeur technique,Valeur économique
25783,Prix des prestations,Organisation mise en place pour assurer prestations
25786,Prix,Délai
25790,Valeur technique : Expertise technique du prestataire dans les domaines suivants: - -transition énergétique,Prix des prestations
25792,Valeur technique,Prix des prestations
25794,Valeur technique (jugée par rapport au descriptif technique et aux fiches techniques,Prix des prestations
25812,Valeur technique,Prix
25816,Valeur technique évaluée sur les moyens techniques et humains pour assurer la mise en service de la solution proposée et sur les délais de mise en oeuvre de la solution,Prix de la solution et des prestations
25830,Valeur technique,Prix
25831,Valeur technique,Prix
25836,Valeur technique,Prix des prestations
25838,Prix des prestations,Valeur technique
25840,Pertinence de la réponse éditoriale,Qualité du plan de diffusion
25842,Prix des prestations,Valeur technique
25843,prix des prestations,Valeur technique
25844,Lot 1 : Prix des prestations,Lot 1 : Valeur technique
25847,Prix des prestations,Délai dexécution
25848,Qualités des tenues professionnelles,Prix
25853,Prix,Valeur technique
25855,Valeur technique,Coût
25858,Prix des prestations,Valeur technique
25865,valeur technique ( au regard du cadre de réponses techniques valant mémoire technique et des échantillons,prix
25868,Valeur Technique,Valeur Prix
25878,Valeur technique de loffre,Prix
25880,Lot 1 : Valeur technique,Lot 1 : Prix des prestations
25881,Qualité,Prix
25882,Valeur technique,Prix
25885,Valeur technique,Prix
25892,Valeur technique (compétence de léquipe /10,Prix
25900,Prix des prestations,Valeur technique
25901,Valeur technique au regard de la qualité et de la pertinence du mémoire technique,Prix des prestations
25902,Valeur technique,Prix
25905,Valeur technique,Prix des prestations
25909,prix,valeur technique (appréciée au regard de la qualité du cadre de réponses techniques
25912,Qualité de lanalyse du programme,Qualité des suggestions damélioration
25915,Prix des prestations,Délai dexécution
25918,prix,technique
25920,Prix,Délai
25921,Valeur technique,Prix
25923,Prix des prestations,Valeur technique au vu du mémoire technique
25925,Valeur technique,Prix
25927,Qualité,Prix
25929,valeur technique,prix
25930,Qualité de loffre,Montant de loffre
25931,Le Prix,La valeur technique
25932,prix,encombrement
25934,Valeur Technique,Prix
25936,Prix des prestations,Valeur technique
25950,Prix,Valeur technique appréciée notamment au regard du mémoire technique
25952,Prix : 70 points,Valeur technique (qualité de la DPGF
25956,Valeur technique,Prix des prestations
25959,note méthodologique,composition de léquipe au regard du projet et références
25961,La valeur technique de loffre,Le prix des prestations
25963,Pour les lots 1 à 6 inclus,Pour les lots 1 à 6 inclus
25970,Le prix,La valeur technique de loffre
25972,Qualite techniqe de loffre,Qualite des prestations de gestion de la partie 1
25973,Valeur technique : pondération 55 points (cf article 6 RC pour la sous-pondération,Prix : pondération 40 points (cf article 6 RC pour la sous-pondération
25974,Prix des prestations,Valeur technique
25983,Qualité des produits,Techniques et modalités de livraison
25984,2 - Valeur technique,1 - Prix des prestations
25987,valeur technique,Prix
25989,Rapidité dintervention pour réparation ou dépannage,Véhicule de remplacement gratuit en cas dimmobilisation
25992,Prix,Valeur technique appréciée notamment au vu du mémoire technique
26001,Valeur technique,Prix des prestations
26005,1-Prix des prestations,2-Valeur technique
26006,Prix des prestations,Conditions et étendues des garanties
26009,valeur technique attribuée en fonction notamment du mémoire technique fourni à lappui de loffre \xad: \xadcaractéristiques plus globales du compacteur : volume,Prix
26011,Analyses,Surfaces supplémentaires et diagnostic avant démolition
26013,Qualité,Prix des prestations
26016,Prix,Valeur technique de loffre
26019,Prix,Valeur technique
26024,Valeur technique,Prix
26025,Valeur technique,Prix des prestations
26031,Valeur technique,Prix
26036,Références concernant des opérations de nature comparable,Composition de léquipe de maîtrise doeuvre et prix des prestations
26044,Prix,Valeur technique
26046,Valeur technique (appréciée a partir du mémoire technique,Prix
26066,Prix,Modalités de transmission et modification du message publicitaire
26070,Valeur technique,Prix
26076,Prix,Valeur technique
26077,Prix des prestations,Qualité des échantillons
26109,Valeur technique,Prix des prestations
26114,Prix des prestations,Valeur technique
26115,Méthodologie,Expérience de léquipe
26120,Prix acquisition - livraison,Valeur technique (équipement
26130,Prix,Valeur technique
26134,Valeur technique appréciée sur la base de cadre de mémoire technique SOPAQ joint au DCE et complété par les candidats,Prix
26144,valeur technique de loffre: qualité et faisabilité de la méthodologie proposée,valeur technique de loffre: expérience et qualification du ou des consultants
26145,Valeur technique,Prix
26147,valeur technique dont les sous-critères sont indiqués au réglement de consultation,prix
26148,prix apprécié au vu du DEQ pour les deux lots,valeur technique
26150,Valeur technique,Prix de la prestation
26161,Qualité du ou des intervenants mis à disposition,Prix
26165,la méthodologie (35% et le savoir-faire de léquipe de projet (25% au regard notamment des curriculum vitae fournis,coût total de la prestation
26166,Prix des prestations,Valeur technique
26173,Prix,Valeur technique
26183,Prix des prestations,Valeur technique
26200,montant de la prestation,capacités techniques
26201,Prix,Expérience de léquipe mise à disposition
26203,Prix des prestations,Valeur technique
26204,Valeur technique de loffre,Prix des prestations
26206,Valeur technique,Prix des prestations
26207,valeur technique du produit,Qualité des contrôles
26210,Prix,valeur technique analysée à partir du mémoire technique et des fiches techniques des produits
26217,Prix,Organisation / méthodologie
26230,Perception de lopération et méthodologie de travail,Prix des prestations
26241,Valeur technique,Prix des prestations
26248,Prix,Valeur technique
26249,valeur technique,prix
26250,Prix,Valeur technique
26257,Valeur technique attribuée en fonction notamment de lergonomie,Prix
26259,Qualité,Sécurité
26266,prix des prestations,valeur technique
26268,Délai dintervention,valeur technique
26269,Prix,Valeur technique
26271,Valeur technique,Prix
26273,Prix des prestations,Valeur technique
26276,Forfait de rémunération,Valeur technique de loffre décomposée comme suit : moyens humains et matériels mis en oeuvre dans le cadre de lexécution de la mission (compétences du titulaire ou le cas échéant de léquipe 10 % et références sur des missions identiques 10 %
26284,Prix,Valeur technique
26285,Le prix,La valeur technique
26287,qualité de la proposition,coût de la prestation
26295,Valeur technique,Prix
26300,Valeur technique,Prix des prestations
26304,Prix des prestations,Qualité
26305,Prix,Valeur technique
26306,Valeur technique,Prix des prestations
26307,Valeur technique (méthode 30%,Prix
26310,Prix,Valeur technique
26318,Prix,Mémoire technique
26323,Méthode pédagogique,Prix des prestations
26326,Prix des prestations,Valeur technique de loffre
26332,Méthode pédagogique jugée au regard du cadre de réponse technique,Prix des prestations
26337,Valeur technique,Prix
26342,La valeur technique au regard du contenu de la note méthodologique,Le prix des prestations
26344,Prix,Qualité Technique
26352,Prix des prestations,Valeur technique des prestations
26358,Lot 1 : Prix des prestations,Lot 1 : Valeur technique
26359,Valeur technique apprécié au regard dun mémoire technique,Prix
26361,Prix des prestations,Valeur technique
26363,Valeur technique de loffre,Prix des prestations
26365,PRIX,VALEUR TECHNIQUE
26366,Valeur technique appréciée au regard dun mémoire technique à joindre obligatoirement à loffre.,Prix
26367,Prix des prestations,Valeur technique
26369,Prix des prestations,Valeur technique
26376,Partie technique (cf. détail des sous critères dans RC,Prix
26379,Prix par application du taux de prime,Niveau des garanties complémentaires
26380,Prix,Valeur technique
26382,prix,valeur technique
26383,Valeur technique,Prix
26384,Lot 1 : Prix des prestations,Lot 1 : Valeur technique
26385,Valeur technique,Prix des prestations
26386,Prix,Valeur Technique
26392,Valeur technique de loffre,Prix des prestations
26395,Prix,Respect des jours et des tranches horaires (cf. articles 5.1 et 5.2 du CCP 2016-08-R3
26397,Valeur technique de loffre,Prix des prestations
26399,Valeur technique,Prix
26401,Prix des prestations,Valeur technique
26405,Prix des prestations,Valeur technique
26406,PRIX,VALEUR TECHNIQUE
26408,Valeur technique (note sur 20 points,Prix des prestations (note sur 20 points
26411,Prix des prestations,Méthodologie de suivi entomologique de lAedes Albopictus
26413,Valeur technique (sur la base du mémoire technique justificatif - Sur 20 points,Prix des prestations - Sur 20 points
26415,Prix des prestations,Valeur technique
26416,Prix des prestations,Valeur technique
26417,Valeur technique jugée au regard du mémoire technique remis par le candidat,Prix des prestations
26420,Valeur technique,Prix des prestations
26423,Délai dexécution,Prix
26431,prix,références
26438,Valeur Technique,Prix
26444,prix,technique
26446,valeur technique,prix
26447,Valeur technique,Prix des prestations
26451,Prix,Qualité technique des prestations
26452,PRIX,VALEUR TECHNIQUE
26456,Prix,Valeur technique
26459,Prix,Valeur technique
26460,valeur technique,Prix
26462,Qualité,Sécurité
26463,critère économique,critère technique
26464,Valeur technique établie sur la base du descriptif technique (caractéristiques du matériel et liste des accessoires associés,Prix de léquipement et des accessoires
26465,Valeur Technique,Prix
26467,Valeur technique : La valeur technique sera jugée au vu du mémoire technique selon les sous-critères suivants : - - couverture fonctionnelle et ergonomie -sous-pondération 35- - (couverture fonctionnelle au regard des besoins exprimés dans le CCTP,Prix des prestations : au vu du devis estimatif
26468,Valeur technique de loffre,Prix
26469,Prix (Montant du DQE,Valeur technique (20 points : Note sur la méthodologie
26470,Valeur technique des prestations,Prix de loffre
26472,valeur technique appréciée au regard de la qualité du mémoire technique : (-20 points : Plan de démarche qualité (-10 points : Formation à la conduite dengins (-10 points : Respect de lenvironnement (-10 points : Formation grimpeur sauveteur secouriste du travail,Prix
26473,Valeur technique - Pondération : 6,Prix/conditions financières - Pondération : 4
26474,Valeur technique appréciée à partir du mémoire technique dans lequel seront notamment détaillées les caractéristiques des véhicules et modalités de la garantie,Prix des véhicules
26476,Prix des prestations,Valeur technique
26478,Valeur technique (performance des matériels proposés et qualité des prestations,Prix
26479,Valeur technique,Prix des prestations
26480,Prix,Délais
26482,Prix,Valeur technique appréciée à partir du mémoire technique
26484,Prix,Qualité globale de la prestation
26486,Prix des prestations,Valeur technique
26487,valeur technique,prix
26488,Valeur technique,Coût des prestations analysé sur la base du DQE (document non contractuel avec sous critères
26489,PRIX,VALEUR TECHNIQUE
26490,Prix,Valeur technique
26491,Offre financière,Qualité globale de la prestation
26492,La méthode de calcul proposée pour lévaluation des budgets prévisionnels,Les capacités professionnelles (notamment qualifications et références proposées au regard des missions envisagées
26494,Prix des prestations,Valeur technique
26496,Valeur technique,Prix
26497,Valeur technique appréciée en fonction de la préparation et lorganisation du chantier,Prix
26499,Prix des prestations,Valeur technique
26500,Valeur technique de loffre,Prix des prestations
26502,Mémoire technique,Prix de la prestation
26503,Prix des prestations,Valeur technique
26505,Prix global de la prestation,Valeur technique de loffre
26506,Valeur technique appréciée au regard : (- 30 points : Processus de réalisation des prestations et des moyens dédiés à lexécution des prestations et leur restitution,Prix
26507,Prix,Valeur technique
26508,Prix,Valeur technique
26509,Prix,Valeur technique
26511,Prix,Capacités professionnelles
26514,Qualité technique de loffre,Prix
26516,Prix des dispositifs médicaux,Performance technique et scientifique du produit (Matériaux
26517,Qualité globale de la prestation - valeur technique,Offre financière
26520,Qualité de la solution technique,Prix
26522,Offre technique,Prix
26523,respect des délais de réalisation et modalités dorganisation,prix proposé
26524,PRIX,VALEUR TECHNIQUE
26526,Prix des prestations : Au vu du montant global et forfaitaire figurant à lacte dengagement,Valeur technique : Au vu du mémoire technique produit par le candidat. - - organisation du candidat (sous pondération 20 - - Moyens techniques à disposition (sous pondération 20  - - Formation du personnel dédié (sous pondération 5
26529,-Valeur technique des fournitures proposées,Prix
26532,Nature et étendue des garanties et des franchises au regard du cahier des clauses particulières,Conditions tarifaires
26533,Valeur Technique,Prix
26534,Prix Montant du DQE sur 60 % et 10 points : Taux de remise analysé sur 3 articles hors BPU,valeur technique Appréciée au regard des articles conformes aux attentes
26535,Valeur technique,Prix
26536,Valeur technique,Prix
26538,Prix,Qualité technique
26541,Valeur technique,Prix
26542,Prix des prestations,Valeur technique
26545,Prix des prestations,Service après-vente et assistance technique
26548,Prix,Valeur technique de loffre
26550,Critère Technique (Qualité,Prix des fournitures
26552,Valeur technique,Prix
26557,Valeur technique,Prix
26559,Valeur technique,Prix
26561,Prix,Valeur technique
26562,Qualité du service,prix
26564,prix des prestations,effectifs et moyens techniques
26565,Prix des prestations,Valeur technique
26566,Prix des prestations,Valeur technique
26573,prix,qualité technique
26579,Prix des prestations,Mémoire technique
26581,Méthodologie prévue pour la réalisation des travaux,Produits proposés pour la réalisation des travaux
26583,Prix des prestations,Délai
26584,PRIX %,APPROCHE FONCTIONNELLE %
26586,Valeur technique du  business plan ,Prix
26587,critère économique,Critère technique
26590,Valeur technique,Coût des prestations
26592,Valeur technique,Prix
26596,valeur technique,critère environnemental
26598,valeur technique,prix
26603,Prix des prestations,Valeur technique
26605,Capacité requise (salle(s,Proximité et les facilités daccès (temps de transfert entre gare/aéroport
26606,prix,valeur technique
26610,Valeur technique,Prix des prestations
26619,Prix,Valeur technique
26620,Prix de la prestation,Qualités techniques
26622,valeur technique,prix
26636,Prix,Solidité-Robustesse
26637,Valeur technique,Prix
26641,Valeur technique évaluée en fonction du mémoire technique (compétences professionnelles et expérience ; moyens humains affectés à lexécution de laccord-cadre ; modalités dintervention ; équipement matériel affecté à lexécution des prestations,Prix des prestations évalué en fonction du Détail Quantitatif Estimatif (DQE
26642,Valeur technique,Prix des prestations
26644,Prix des prestations,Valeur technique
26649,Valeur technique de loffre,Prix des prestations
26652,Prix des prestations,Valeur technique (appréciée à partir du mémoire technique
26656,Prix,Note technique
26658,Prix,Note technique
26659,Le prix : 70 points,Technique : 30 points
26663,Prix,Valeur technique
26664,Pirx,Valeur technique de loffre
26671,Prix,Valeur technique
26679,Valeur technique,Prix
26683,prix,valeur technique
26684,Prix,Possibilité dapprovisionnement tous les jours
26686,prix,valeur technique
26694,Valeur technique,Prix
26696,Valeur technique,Prix
26704,prix des prestations pondération,valeur technique des prestations : références et moyens de mise en oeuvre
26705,Prix des prestations,Qualité
26711,Valeur technique,Prix des prestations
26712,Prix,Valeur technique
26723,Valeur technique,Prix des prestations
26732,Prix des prestations analysé au reagrd du détail quantitatif estimatif,Valeur technique analysé au reagrd du mémoire technique qui précisera : - la méthodologie de réalisation des prestations (sécurité
26733,Valeur technique,Prix
26734,Prix des prestations,Valeur technique
26746,Prix,Note technique
26747,prix,valeur technique
26748,Valeur technique,Prix des prestations
26751,Prix,Valeur technique
26752,Pertinence de la note dintention,Prix
26754,Prix des prestations,Valeur technique
26757,Valeur technique,Prix des prestations
26758,Prix des prestations,Valeur technique
26759,Prix des prestations,Valeur technique
26760,Prix des founitures,Valeur technique de loffre
26761,Valeur technique de loffre - 40 points,Prix des fournitures - 40 points
26762,Lot 01 : Valeur technique,Lot 01 : Prix des prestations
26763,Valeur Technique,Prix
26764,Valeur technique appréciée au regard des réponses apportées au questionnaire du CCTP,Prix sur la base du devis descriptif et estimatif remis par le candidat
26766,Valeur technique appréciée au regard du mémoire technique,Prix des prestations
26767,Prix des prestations,Valeur technique des prestations (mémoire technique
26768,Prix,Valeur technique
26770,Le tarif le plus avantageux,Service de suivi des consommations
26771,Prix des prestations,Valeur technique
26772,Prix,Note méthodologique précisant les modalités de la prestation et le nombre de ramassage
26774,Prix des prestations,Valeur technique
26775,Prix des prestations,Valeur technique
26776,Valeur technique,Prix des prestations
26777,Prix des prestations,Valeur technique
26779,critère prix,capacité technique
26780,Valeur technique,Prix des prestations
26781,Prix des prestations,Valeur technique
26785,Valeur Technique,Coût global de loffre
26786,Valeur technique,Prix
26788,Adéquation aux besoins,Prix
26790,Valeur technique de loffre,Prix des prestations
26791,Valeur technique,Prix des prestations
26792,Prix des dispositifs médicaux,Performance technique et scientifique du produit (Matériaux
26793,Valeur technique,Prix des prestations
26794,Prix des prestations,Valeur technique
26795,Prix des prestations,Valeur technique
26796,Prix %,Technique %
26797,Prix des prestations,Délai dapprovisionnement
26798,Prix %,Technique %
26799,Prix,Valeur technique
26800,Prix des prestations,Valeur technique
26801,Prix des prestations,Valeur technique appréciée sur la base des moyens (méthodologie
26802,Prix des prestations,Valeur environnementale
26804,Prix,Qualité
26808,Valeur technique,Valeur technique : Modalités dexécution des travaux
26809,Valeur technique appréciée au regard du mémoire technique,Prix des prestations
26810,Prix,Valeur technique
26812,Valeur technique,Prix des prestations
26815,Qualité technique (les sous critères sont détaillés dans le RC,Prix
26816,QUALITE DU PRODUIT,SECURITE DAPPROVISIONNEMENT
26818,Prix des prestations,Valeur technique
26820,Prix des prestations,Valeur technique appréciée au regard des réponses formulées par le candidat dans son mémoire technique
26822,Qualité du service,prix
26824,Valeur technique,Prix des prestations
26826,Valeur technique,Valeur technique : qualité générale de fabrication (soudure - fixation des panneaux - épaisseur etc
26827,Valeur technique appréciée au regard dun mémoir technique pour chacun des lots 60%,Prix : 40%
26829,Prix des prestations,Valeur artistique
26830,prix,qualité technique
26831,Prix des prestations,Valeur technique
26832,Valeur technique de loffre,Prix des prestations
26833,Valeur technique de loffre,Prix des prestations
26834,Valeur économique %,Valeur technique %
26835,Valeur technique de loffre,Prix des prestations
26836,Méthodologie prévue pour la réalisation des travaux,Produits proposés pour la réalisation des travaux
26838,Lot 1 : Prix des prestations,Lot 1 : Valeur technique
26840,PRIX %,APPROCHE FONCTIONNELLE %
26841,Prix des prestations,Valeur technique
26842,Valeur technique,Prix
26843,Aptitude candidat à conduire lopération daménagement projetée,Qualité et réalisme financier de lopération
26845,Prix des prestations,Valeur technique
26848,Prix des prestations,Valeur technique
26849,Prix des prestations,Valeur technique
26850,Prix des prestations,Valeur technique
26851,Prix,valeur technique
26852,Valeur technique de loffre (voir détail sous critère dans RC,Prix global de la prestation
26853,valeur technique,prix
26854,Valeur technique,Prix
26857,Prix des prestations,Valeur technique
26858,Prix,Valeur technique
26859,Qualité des produits,Techniques et modalités de livraisons
26860,qualité technique et esthétique des produits,Prix
26861,Prix,Valeur technique de loffre
26865,Valeur technique de loffre,Adéquation des références par rapport à lobjet du marché
26868,Valeur technique,Prix
26870,prix. pondération = 50%,valeur technique. pondération = 30%
26871,1. Prix,2. Valeur technique de la proposition et adéquation au service prévu
26874,Prix %,Valeur technique de loffre %
26876,Prix des prestations,Valeur technique
26877,Valeur technique de loffre appréciée au vu du mémoire (spécifications techniques et fonctionnelles du logiciel notées sur 40,Prix des prestations apprécié au vu de la DPGF
26878,Valeur technique,Prix des prestations
26880,Valeur technique,Prix des prestations
26881,Prix des prestations,Valeur technique (Qualité de la DPGF
26883,Valeur technique,Prix
26884,Valeur technique au vu du mémoire technique,Prix des prestations
26887,Valeur technique (15 points : Analyse et compréhension du besoin exprimé - 15 points : Méthodologie - 10 points : Références similaires,Prix
26888,Valeur technique,Prix
26890,Prix,Valeur Technique
26892,Prix,Valeur technique
26894,Contenu et méthodes pédagogiques appréciés au regard des cadres de réponse  caractéristiques pédagogiques  et  fiche action ,Prix de la prestation apprécié au regard du bordereau de prix valant Détail Quantitatif Estimatif
26895,Le prix,Le délai de réalisation
26896,Prix,Valeur technique (20 points : fiches techniques et matériels proposés - 20 points : Process dintervention dans un parc éco certifié et ouvert au public
26898,valeur technique (- 25 points : Qualité/interactivité du catalogue numérique (- 25 points : Méthodologie de traitement des commandes et retours,Prix (- 30 points : Montant du DQE (- 10 points Taux de remise
26900,Coût de la prestation,- Adéquation du logiciel à la demande 25 %- Coût de la prestation 35 %- délai de livraison  5 %- maintenance / évolution- Adéquation du logiciel à la demande 25 %- Coût de la prestation 35 %- délai de livraison  5 %- maintenance / évolutionAdéquation du logiciel à la demande
26903,valeur technique de loffre,prix des prestations
26905,Prix détaillés de la prestation,Valeur technique appréciée au regard du mémoire tecnhique
26906,Valeur technique (25 points : compréhension du besoin adapté au territoire - 25 points : qualité de léquipe dédiée spécifiquement à la réalisation de la mission - 15 points : modalités de fonctionnement,Prix
26908,Valeur technique appréciée au regard des éléments suivants,Valeur technique appréciée au regard des éléments suivants : Pertinence de lorganisation et de la méthodologie pour assurer les prestations (forfaitaires et unitaires
26910,Prix,Valeur technique
26914,Prix des prestations,Valeur technique
26915,Prix des prestations,Valeur technique
26917,Qualité de la note technique,Prix et qualité de loffre financière
26918,Valeur technique,Prix des prestations
26919,Prix de la prestation,Valeur technique (compréhension de létude - composition de léquipe dédiée - expériences similaires dans des opérations de lotissements industriels
26921,valeur technique de loffre,prix des prestations
26922,Prix,Valeur technique : - moyens humains (nombre et qualification des personnes et matériels dédiés à lexécution du marché 14 % - méthodologie de travail mise en oeuvre pour les prélèvements et les analyses 14 % - méthodologie de travail mise en oeuvre pour les contrôles internes mis en oeuvre pour le respect de la qualité 7 %
26923,Prix : comparé à loffre du moins-disant en prix suivant la méthode de dépouillement des offres jointe en annexe au règlement de la consultation.,Valeur technique : conformément à ce qui est défini en annexe au règlement de la consultation.
26924,Critère no1. Prix global et forfaitaire :,Critère no2. Qualité de la réponse au regard des exigences fonctionnelles duprogramme :
26925,Prix,valeur technique
26926,Valeur technique,Prix
26931,Valeur technique,Prix des prestations
26932,Qualité technique de loffre appréciée au vu du mémoire (modalités dorganisation des prestations,Prix des prestations apprécié au vu de la DPGF et du BPU (montant forfaitaire noté sur 20
26936,Valeur technique,Valeur technique : Qualité du mémoire technique - complétude et clarté
26937,Valeur technique,Prix
26940,Prix,Valeur Technique
26942,1. Valeur technique,2. Prix des prestations
26943,valeur technique,prix des prestations
26945,Prix,Valeur technique : 50 points : Moyens humains affectés au marché - 50 points : Méthodologie retenue pour assurer les prestations prévues au marché
26946,1 - Valeur technique daprès le mémoire technique décrivant les prestations proposées,2 - Prix des prestations
26948,Prix des prestations,Valeur technique : Moyens et méthodes proposés au travers du mémoire justificatif et explicatif ( 30  - Planning prévisionnel ( 10 
26949,Prix des prestations,Valeur technique de loffre
26950,Valeur technique,Prix des prestations
26956,Performances économiques jugée à partir de la simulation financière sur la durée totale du marché (12 ans,Performances analytiques et techniques jugée à partir du mémoire technique et du questionnaire technique
26957,prix des fournitures,délais
26963,Valeur technique pour assurer les travaux,Valeur technique pour assurer les travaux : Moyens techniques matériels spécifiques pour la réalisation des travaux
26965,Prix de cession aux tiers,Qualité esthétique des dispositifs
26966,prix des prestations,capacités techniques du candidat
26967,Valeur technique,Prix des prestations
26973,prix unitaire des manches à vent,délai de livraison des fournitures et valeur technique
26974,Valeur technique de l offre (choix de titres large et diversifié,Suivi des commandes (avec indication des indisponibilités et reliquats
26975,Valeur technique,Prix
26976,Qualités techniques,Prix des prestations
26979,Prix : Prix des rongeurs (analyse de chaque ligne de référence : 15 ; Montants des frais de port : 20 ; Montants des emballages : 20.,Qualité technique : Conditions délevage
26981,Valeur technique,Prix
26982,Qualité des produits,Prix
26983,Performances économiques jugée à partir de la simulation financière sur la durée totale du marché (12 ans,Performances analytiques et techniques jugée à partir du mémoire technique et du questionnaire technique
26987,Prix des prestations,Valeur technique
26989,Prix,Valeur technique
26990,Valeur technique des prestations,Prix des prestations
26991,Prix,valeur technique de loffre
26992,Valeur technique des prestations,Prix des prestations
26995,Valeur technique des prestations,Prix des prestations
26997,Prix,Valeur technique (appréciée au regard de la qualité du mémoire technique
26999,Valeur technique,Prix
27008,Valeur technique,Prix
27009,valeur technique,prix
27010,Prix,Valeur technique
27012,Valeur technique de loffre,Prix des prestations
27015,Valeur technique,Prix
27019,Valeur technique,Prix des prestations
27022,Le coût global de la prestation,Valeur technique jugée par une note de 0 à 10 selon les critères suivants : La capacité du site de livraison à accueillir les cartons dans de bonnes conditions : jours et heures douverture
27023,Prix des dispositifs médicaux,Adéquation à la prescription médicale (Ergonomie
27025,Qualité de lapproche méthodologique et organisationnelle,Qualité des moyens humains
27026,Prix (70 points,Valeur technique (30 points
27028,Le prix,La valeur technique
27030,Valeur technique,Prix des prestations apprécié au regard du DQE
27033,Vakeur technique de loffre appréciée au regard du mémoire technique du candidat,prix des prestations
27034,Prix,Valeur Technique
27035,Valeur technique,Prix
27038,Le prix,La valeur technique
27040,Le prix,La valeur technique
27041,Prix,Valeur technique
27044,Prix des prestations,Valeur technique
27045,Valeur technique,Prix
27046,Prix,Valeur technique
27048,Valeur technique,Prix des prestations
27049,Prix,Délai dintervention
27050,Valeur technique,Prix
27052,Prix des prestations,Valeur technique
27053,Qualité de la prestation,Qualité de la prestation : Organisation de la prestation
27054,Prix,Insertion
27055,Prix de la location maintenance,Valeur technique
27056,Valeur technique des produits,Prix
27057,Prix des prestations,Valeur technique (Qualité de la DPGF
27058,Valeur technique de loffre (Note sur 50,Prix (Note sur 30
27059,Prix des prestations,Délai de livraison
27060,Prix des prestations,Valeur technique
27061,Pluridisciplinarité des compétences : méthodologie,Prix des prestations
27064,Valeur technique,Prix
27065,Valeur technique,Prix des prestations
27066,montant des prestations,valeur technique de loffre
27069,Valeur technique de loffre,Prix des prestations
27070,Valeur technique,Prix
27071,Valeur technique,Prix des prestations
27073,Prix (-25 points : Coût horaire main doeuvre (-20 points : Coût pour une visite annuelle préventive (-15 points : Coût déplacement hors coût des pièces à changer,valeur technique (-15 points : Moyens techniques en rapport avec les missions (-15 points : Méthodologie de suivi (-10 points : Moyens humains
27074,Valeur technique (sous-critères mis dans article renseignements complémentaires,Prix des prestations
27075,Le prix (pour les lots 2,La valeur technique (pour les lots 2
27076,Prix,Valeur technique (au regard de la qualité du cadre technique de réponses valant mémoire technique
27077,valeur technique,prix des prestations
27078,Valeur technique (compréhension et qualité de la note méthodologique pour chaque phase de la mission,Prix des prestations
27079,Le Prix (pour le lot 1,La valeur technique (pour le lot no1
27080,Valeur technique de loffre,Propositions financières
27081,Prix de la prestation,Valeur technique
27082,Valeur technique de loffre (moyens humains et interlocuteurs dédiés pour les vérifications sur les sites de luniversité Bordeaux Montaigne / méthodologie dexécution et la réactivité envisagée pour lexécution des prestations/ le contenu,Prix :
27083,PRIX 40%,VALEUR TECHNIQUE DE LOFFRE 25%
